item_name,text,Type,Answers,Values,Score: SRQ_Test,Score: Admiration,Score:Negative Social Potency,Score: Passivity,Score: Prosocial Interactions,Score: Sexual Relationships,Score: Sociability,Optional,btn_width,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'>Here is a list of statements about what you enjoy when you interact with other people. The statements refer to all people in your life, e.g. friends, partners, family, colleagues or people you have just met. Consider how well each statement relates to you and indicate your answer with a tick. NOTE: If there is something you have never experienced, imagine how much you would enjoy it.:</span></span>",Instruct,,,,,,,,,,,,
SRQ1,"I enjoy being around people who think I am an important, exciting person",likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,1,,,,,,No,100px,
SRQ2,I enjoy treating others fairly,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,1,,1,,,No,100px,
SRQ3,I enjoy making someone angry,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,,,,No,100px,
SRQ4,I enjoy going to parties,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,1,,1,,1,No,100px,
SRQ5,I enjoy being nice to someone only if I gain something out of it,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,,,,No,100px,
SRQ6,I enjoy feeling emotionally connected to someone,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,,,,No,100px,
SRQ7,I enjoy it if others look up to me,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,1,,,,,,No,100px,
SRQ8,I enjoy tricking someone out of something,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,1,,,,,No,100px,
SRQ9,I enjoy having erotic relationships,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,,1,,No,100px,
SRQ10,I enjoy being a member of a group/club,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,,,1,No,100px,
SRQ11,I enjoy being around people who are impressed with who I am and what I do,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,1,,,,,,No,100px,
SRQ12,I enjoy letting someone else tell me what to do,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,1,,,,No,100px,
SRQ13,I enjoy having many sexual experiences,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,,1,,No,100px,
SRQ14,I enjoy embarrassing others,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,1,,,No,100px,
SRQ15,I enjoy many people wanting to invite me to their social events,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,1,,,,1,No,100px,
SRQ16,I enjoy keeping promises I make to others,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,,,,No,100px,
SRQ17,I enjoy seeing others get hurt,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,1,,,,,No,100px,
SRQ18,I enjoy achieving recognition from others,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,1,,,,,,No,100px,
SRQ19,"I enjoy it if someone accepts me as I am, no matter what",likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,1,,,No,100px,
SRQ20,I enjoy having an active sex life,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,,1,,No,100px,
SRQ21,I enjoy someone else making decisions for me,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,1,,,,No,100px,
SRQ22,I enjoy making someone feel happy,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,,1,,,No,100px,
SRQ23,I enjoy following someone else’s rules,likert,Strongly Disagree|Disagree|Slightly disagree|Neither agree nor disagree|Slightly agree|Agree|Strongly Agree,1|2|3|4|5|6|7,,,,1,,,,No,100px,
,,,,,,,,,,,,,,
